id,productos_id,cantidad,piezas,units,locations,created,updated
1,73,0,8,5,1,0000-00-00,0000-00-00
2,114,0,11,5,1,0000-00-00,0000-00-00
3,79,0,11,5,1,0000-00-00,0000-00-00
4,87,0,10,5,1,0000-00-00,0000-00-00
5,109,0,11,5,1,0000-00-00,0000-00-00
6,110,0,11,5,1,0000-00-00,0000-00-00
7,103,0,6,5,1,0000-00-00,0000-00-00
8,71,0,14,5,1,0000-00-00,0000-00-00
9,117,0,7,5,1,0000-00-00,0000-00-00
10,86,0,7,5,1,0000-00-00,0000-00-00
11,106,0,0,5,1,0000-00-00,0000-00-00
12,85,0,0,5,1,0000-00-00,0000-00-00
13,74,0,11,5,1,0000-00-00,0000-00-00
14,90,0,0,5,1,0000-00-00,0000-00-00
15,82,0,11,5,1,0000-00-00,0000-00-00
16,104,0,9,5,1,0000-00-00,0000-00-00
17,102,0,8,5,1,0000-00-00,0000-00-00
18,92,0,4,5,1,0000-00-00,0000-00-00
19,123,0,8,5,1,0000-00-00,0000-00-00
20,99,0,15,5,1,0000-00-00,0000-00-00
21,70,0,9,5,1,0000-00-00,0000-00-00
22,100,0,0,5,1,0000-00-00,0000-00-00
23,111,0,5,5,1,0000-00-00,0000-00-00
24,120,0,0,5,1,0000-00-00,0000-00-00
25,113,0,3,5,1,0000-00-00,0000-00-00
26,101,0,8,5,1,0000-00-00,0000-00-00
27,72,0,15,5,1,0000-00-00,0000-00-00
28,105,0,6,5,1,0000-00-00,0000-00-00
29,81,0,0,5,1,0000-00-00,0000-00-00
30,107,0,11,5,1,0000-00-00,0000-00-00
31,119,0,7,5,1,0000-00-00,0000-00-00
32,112,0,0,5,1,0000-00-00,0000-00-00
33,83,0,23,5,1,0000-00-00,0000-00-00
34,108,0,11,5,1,0000-00-00,0000-00-00
35,118,0,8,5,1,0000-00-00,0000-00-00
36,96,0,15,5,1,0000-00-00,0000-00-00
37,80,0,0,5,1,0000-00-00,0000-00-00
38,126,0,15,5,1,0000-00-00,0000-00-00
39,115,0,11,5,1,0000-00-00,0000-00-00
40,125,0,8,5,1,0000-00-00,0000-00-00
41,95,0,0,5,1,0000-00-00,0000-00-00
42,69,0,9,5,1,0000-00-00,0000-00-00
43,94,0,0,5,1,0000-00-00,0000-00-00
44,97,0,0,5,1,0000-00-00,0000-00-00
45,124,0,4,5,1,0000-00-00,0000-00-00
46,88,0,8,5,1,0000-00-00,0000-00-00
47,89,0,0,5,1,0000-00-00,0000-00-00
48,75,0,16,5,1,0000-00-00,0000-00-00
49,77,0,5,5,1,0000-00-00,0000-00-00
50,78,0,20,5,1,0000-00-00,0000-00-00
51,76,0,7,5,1,0000-00-00,0000-00-00
52,122,0,11,5,1,0000-00-00,0000-00-00
53,84,0,4,5,1,0000-00-00,0000-00-00
54,98,0,0,5,1,0000-00-00,0000-00-00
55,121,0,11,5,1,0000-00-00,0000-00-00
56,116,0,5,5,1,0000-00-00,0000-00-00
57,91,0,23,5,1,0000-00-00,0000-00-00
58,93,0,22,5,1,0000-00-00,0000-00-00
59,212,0,5,5,1,0000-00-00,0000-00-00
60,233,0,15,5,1,0000-00-00,0000-00-00
61,229,0,9,5,1,0000-00-00,0000-00-00
62,234,0,7,5,1,0000-00-00,0000-00-00
63,226,0,15,5,1,0000-00-00,0000-00-00
64,209,0,3,5,1,0000-00-00,0000-00-00
65,246,0,11,5,1,0000-00-00,0000-00-00
66,245,0,6,5,1,0000-00-00,0000-00-00
67,197,0,12,5,1,0000-00-00,0000-00-00
68,244,0,11,5,1,0000-00-00,0000-00-00
69,225,0,0,5,1,0000-00-00,0000-00-00
70,241,0,12,5,1,0000-00-00,0000-00-00
71,277,0,9,5,1,0000-00-00,0000-00-00
72,207,0,88,5,1,0000-00-00,0000-00-00
73,281,0,15,5,1,0000-00-00,0000-00-00
74,270,0,15,5,1,0000-00-00,0000-00-00
75,261,0,0,5,1,0000-00-00,0000-00-00
76,274,0,15,5,1,0000-00-00,0000-00-00
77,217,0,7,5,1,0000-00-00,0000-00-00
78,231,0,3,5,1,0000-00-00,0000-00-00
79,232,0,4,5,1,0000-00-00,0000-00-00
80,265,0,27,5,1,0000-00-00,0000-00-00
81,258,0,20,5,1,0000-00-00,0000-00-00
82,211,0,6,5,1,0000-00-00,0000-00-00
83,276,0,19,5,1,0000-00-00,0000-00-00
84,247,0,11,5,1,0000-00-00,0000-00-00
85,272,0,24,5,1,0000-00-00,0000-00-00
86,260,0,9,5,1,0000-00-00,0000-00-00
87,263,0,11,5,1,0000-00-00,0000-00-00
88,269,0,36,5,1,0000-00-00,0000-00-00
